,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,uci_name,continent,name,country,latitude,longitude,Continent
2928,2008-07-12,2008-07-12,Cronoscalata Gardone V.T. - Prati di Caregno,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2929,2008-07-05,2008-07-13,Giro d'Italia Femminile,ITALY,WE,2.1,2008,9.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2930,2008-07-05,2008-07-13,Tour cycliste International de Martinique,FRANCE,ME,2.2,2008,9.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2931,2008-07-06,2008-07-13,Int. Österreich-Rundfahrt-Tour of Austria,AUSTRIA,ME,2.HC,2008,8.0,AUSTRIA,EUROPE,Austria,AT,47.516231,14.550072,Europe
2932,2008-07-09,2008-07-13,GPCI Torres Vedras - Troféu Joaquim Agostinho,PORTUGAL,ME,2.2,2008,5.0,PORTUGAL,EUROPE,Portugal,PT,39.399872,-8.224454,Europe
2933,2008-07-10,2008-07-13,Tour de Feminin - Krasna Lipa,CZECH REPUBLIC,WE,2.2,2008,4.0,CZECH REPUBLIC,EUROPE,Czech Republic,CZ,49.817492,15.472962,Europe
2934,2008-07-12,2008-07-13,GP Général Patton,LUXEMBOURG,MJ,2.Ncup,2008,2.0,LUXEMBOURG,EUROPE,Luxembourg,LU,49.815273,6.129583,Europe
2935,2008-07-13,2008-07-13,Ledegem-Kemmel-Ledegem,BELGIUM,MJ,1.1,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2936,2008-07-13,2008-07-13,Pomorski Klasyk,POLAND,ME,1.2,2008,1.0,POLAND,EUROPE,Poland,PL,51.919438,19.145136,Europe
2937,2008-07-13,2008-07-13,Giro del Medio Brenta,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2938,2008-07-11,2008-07-14,Ain'Ternational-Rhône Alpes-Valromey Tour,FRANCE,MJ,2.1,2008,4.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2939,2008-07-19,2008-07-19,Plovdiv Cup,BULGARIA,ME,1.2,2008,1.0,BULGARIA,EUROPE,Bulgaria,BG,42.733883,25.48583,Europe
