,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,Continent
3007,2012-03-18,2012-03-18,Cholet Pays de Loire Dames,FRANCE,WE,1.2,2012,1.0,Europe
3008,2012-03-18,2012-03-18,Gran Premio San Giuseppe,ITALY,ME,1.2,2012,1.0,Europe
3010,2012-03-18,2012-03-18,Bernaudeau Junior,FRANCE,MJ,1.1,2012,1.0,Europe
3011,2012-03-16,2012-03-20,Vuelta el Salvador,EL SALVADOR,WE,2.1,2012,5.0,Americas
3012,2012-03-21,2012-03-21,Dwars door Vlaanderen / A travers la Flandre,BELGIUM,ME,1.1,2012,1.0,Europe
3013,2012-03-21,2012-03-21,Grand Prix GSB,EL SALVADOR,WE,1.1,2012,1.0,Americas
3014,2012-03-23,2012-03-23,E3 Prijs Vlaanderen - Harelbeke,BELGIUM,ME,1.UWT,2012,1.0,Europe
3015,2012-03-20,2012-03-24,Settimana Internazionale Coppi e Bartali,ITALY,ME,2.1,2012,5.0,Europe
3016,2012-03-18,2012-03-25,Vuelta Mexico,MEXICO,ME,2.2,2012,8.0,Americas
3017,2012-03-19,2012-03-25,Tour de Normandie,FRANCE,ME,2.2,2012,7.0,Europe
3018,2012-03-19,2012-03-25,Volta Ciclista a Catalunya,SPAIN,ME,2.UWT,2012,7.0,Europe
3019,2012-03-22,2012-03-25,Volta ao Alentejo/Crédito Agrícola Costa Azul,PORTUGAL,ME,2.2,2012,4.0,Europe
3020,2012-03-24,2012-03-25,Critérium International,FRANCE,ME,2.HC,2012,2.0,Europe
3021,2012-03-25,2012-03-25,Trofeo Alfredo Binda - Comune di Cittiglio,ITALY,WE,CDM,2012,1.0,Europe
3022,2012-03-25,2012-03-25,Gent - Wevelgem,BELGIUM,ME,1.UWT,2012,1.0,Europe
3023,2012-03-27,2012-03-29,VDK-Driedaagse De Panne-Koksijde,BELGIUM,ME,2.HC,2012,3.0,Europe
3024,2012-03-30,2012-03-30,Route Adélie de Vitré,FRANCE,ME,1.1,2012,1.0,Europe
3026,2012-03-31,2012-03-31,Gran Premio Miguel Indurain,SPAIN,ME,1.HC,2012,1.0,Europe
